name,domain
Linde,linde.com
Live Nation Entertainment,livenationentertainment.com
Lockheed Martin,lockheedmartin.com
Loews Corporation,loews.com
Lululemon,lululemon.com
Lumentum,lumentum.com
LyondellBasell,lyondellbasell.com
M&T Bank,mtb.com
Marathon Petroleum,marathonpetroleum.com
Marriott International,marriott.com
Marsh McLennan,mmc.com
Martin Marietta,martinmarietta.com
Marvell Technology,marvell.com
Masco,masco.com
McCormick & Company,mccormickcorporation.com
McDonald's,mcdonalds.com
Meta Platforms,meta.com
Mettler Toledo,mt.com
MGM Resorts International,mgmresorts.com
Microchip Technology,microchip.com
Micron Technology,micron.com
Microsoft,microsoft.com
Mid-America Apartment Communities,maac.com
Moderna,modernatx.com
Molson Coors,molsoncoors.com
Mondelez International,mondelezinternational.com
Monolithic Power Systems,monolithicpower.com
Monster Beverage,monsterbevcorp.com
Moody's Corporation,moodys.com
Morgan Stanley,morganstanley.com
The Mosaic Company,mosaicco.com
Motorola Solutions,motorolasolutions.com
MSCI,msci.com
Newmont,newmont.com
News Corp,newscorp.com
NextEra Energy,nexteraenergy.com
Nike,nike.com
NiSource,nisource.com
Nordson Corporation,nordson.com
Norfolk Southern,norfolksouthern.com
Northern Trust,northerntrust.com
Northrop Grumman,northropgrumman.com
Norwegian Cruise Line Holdings,nclhltd.com
NRG Energy,nrg.com
Nucor,nucor.com
NVR,nvrinc.com
NXP Semiconductors,nxp.com
O'Reilly Auto Parts,oreillyauto.com
Occidental Petroleum,oxy.com
Old Dominion Freight Line,odfl.com
Omnicom Group,omnicomgroup.com
onsemi,onsemi.com
ONEOK,oneok.com
Oracle,oracle.com
Otis Worldwide,otis.com
PACCAR,paccar.com
Packaging Corporation of America,packagingcorp.com
Palo Alto Networks,paloaltonetworks.com
Paramount Skydance,paramount.com
Parker Hannifin,parker.com
Paychex,paychex.com
Pentair,pentair.com
PepsiCo,pepsico.com
PG&E Corporation,pgecorp.com
Philip Morris International,pmi.com
Phillips 66,phillips66.com
Pinnacle West Capital,pinnaclewest.com
PNC Financial Services,pnc.com
PPG Industries,ppg.com
PPL Corporation,pplweb.com
Principal Financial Group,principal.com
Procter & Gamble,pg.com
Progressive,progressive.com
Prologis,prologis.com
PSEG,pseg.com
PTC,ptc.com
Public Storage,publicstorage.com
PulteGroup,pultegroup.com
Quanta Services,quantaservices.com
Qualcomm,qualcomm.com
Quest Diagnostics,questdiagnostics.com
Ralph Lauren,ralphlauren.com
Raymond James Financial,raymondjames.com
RTX Corporation,rtx.com
Realty Income,realtyincome.com
Regency Centers,regencycenters.com
Regeneron Pharmaceuticals,regeneron.com
Regions Financial,regions.com
Republic Services,republicservices.com
ResMed,resmed.com
Revvity,revvity.com
Rockwell Automation,rockwellautomation.com
Rollins,rollins.com
Roper Technologies,ropertech.com
Ross Stores,rossstores.com
Royal Caribbean Group,royalcaribbeangroup.com
S&P Global,spglobal.com
SanDisk,sandisk.com
SBA Communications,sbasite.com
SLB,slb.com
Seagate Technology,seagate.com
Sempra,sempra.com
ServiceNow,servicenow.com
Sherwin-Williams,sherwin-williams.com
Simon Property Group,simon.com
Skyworks Solutions,skyworksinc.com
The J.M. Smucker Company,jmsmucker.com
Smurfit Westrock,smurfitwestrock.com
Snap-on,snapon.com
Solventum,solventum.com
Southern Company,southerncompany.com
Southwest Airlines,southwest.com
Stanley Black & Decker,stanleyblackanddecker.com
Starbucks,starbucks.com
Steel Dynamics,steeldynamics.com
Steris,steris.com
Super Micro Computer,supermicro.com
Synchrony,synchrony.com
Synopsys,synopsys.com
Sysco,sysco.com
T-Mobile,t-mobile.com
T. Rowe Price,troweprice.com
Take-Two Interactive,take2games.com
Tapestry,tapestry.com
Targa Resources,targaresources.com
TE Connectivity,te.com
Teledyne Technologies,teledyne.com
Teradyne,teradyne.com
Tesla,tesla.com
Texas Instruments,ti.com
Texas Pacific Land Corporation,texaspacific.com
Textron,textron.com
TJX Companies,tjx.com
TKO Group Holdings,tkogrp.com
The Trade Desk,thetradedesk.com
Tractor Supply Company,tractorsupply.com
Trane Technologies,tranetechnologies.com
TransDigm Group,transdigm.com
The Travelers Companies,travelers.com
Trimble,trimble.com
Tyler Technologies,tylertech.com
Tyson Foods,tysonfoods.com
U.S. Bancorp,usbank.com
Uber,uber.com
UDR,udr.com
Ulta Beauty,ulta.com
Union Pacific,up.com
United Airlines,united.com
UPS,ups.com
United Rentals,unitedrentals.com
UnitedHealth Group,unitedhealthgroup.com
Universal Health Services,uhsinc.com
Valero Energy,valero.com
Veeva Systems,veeva.com
Ventas,ventasreit.com
Veralto,veralto.com
Verisign,verisign.com
Verisk Analytics,verisk.com
Verizon,verizon.com
Vertex Pharmaceuticals,vrtx.com
Vertiv,vertiv.com
Viatris,viatris.com
VICI Properties,viciproperties.com
Vistra Corp,vistracorp.com
Vulcan Materials Company,vulcanmaterials.com
W. R. Berkley Corporation,wrberkley.com
W.W. Grainger,grainger.com
Wabtec,wabteccorp.com
Walmart,walmart.com
The Walt Disney Company,thewaltdisneycompany.com
Waste Management,wm.com
Waters Corporation,waters.com
WEC Energy Group,wecenergygroup.com
Wells Fargo,wellsfargo.com
Welltower,welltower.com
West Pharmaceutical Services,westpharma.com
Western Digital,westerndigital.com
Weyerhaeuser,weyerhaeuser.com
Williams-Sonoma,williams-sonomainc.com
Williams Companies,williams.com
WTW,wtwco.com
Wynn Resorts,wynnresorts.com
Xcel Energy,xcelenergy.com
Xylem,xylem.com
Yum! Brands,yum.com
Zebra Technologies,zebra.com
Zimmer Biomet,zimmerbiomet.com
Zoetis,zoetis.com
State Farm,statefarm.com
Nationwide Mutual Insurance,nationwide.com
Liberty Mutual Insurance,libertymutual.com
USAA,usaa.com
Northwestern Mutual,northwesternmutual.com
New York Life Insurance,newyorklife.com
MassMutual,massmutual.com
Guardian Life Insurance,guardianlife.com
Publix Super Markets,publix.com
H-E-B,heb.com
Wegmans Food Markets,wegmans.com
Meijer,meijer.com
Hy-Vee,hy-vee.com
Albertsons Companies,albertsonscompanies.com
Booz Allen Hamilton,boozallen.com
SAIC,saic.com
CACI International,caci.com
AECOM,aecom.com
Bechtel,bechtel.com
Fluor Corporation,fluor.com
Parsons Corporation,parsons.com
XPO,xpo.com
Werner Enterprises,werner.com
Knight-Swift Transportation,knight-swift.com
Ryder System,ryder.com
Enterprise Products Partners,enterpriseproducts.com
Energy Transfer,energytransfer.com
Plains All American Pipeline,plains.com
Cargill,cargill.com
"Mars, Incorporated",mars.com
Kaiser Permanente,kaiserpermanente.org
Ascension,ascension.org
CommonSpirit Health,commonspirit.org
Providence,providence.org
Zions Bancorporation,zionsbancorporation.com
Comerica,comerica.com
First Citizens Bank,firstcitizens.com
Synovus,synovus.com
Kohl's,kohls.com
Gap Inc.,gapinc.com
Levi Strauss & Co.,levistrauss.com
Under Armour,underarmour.com
ICF International,icf.com
Maximus,maximus.com
